Runs,Algorithm,Train Accuracy,Test Accuracy,F1 Score
1,random_hill_climb,0.8100558659217877,0.7402597402597403,0.5774647887323944
2,random_hill_climb,0.8100558659217877,0.7142857142857143,0.5217391304347826
3,random_hill_climb,0.8175046554934823,0.7186147186147186,0.5323741007194244
4,random_hill_climb,0.819366852886406,0.7359307359307359,0.5547445255474452
5,random_hill_climb,0.8026070763500931,0.7186147186147186,0.49612403100775193
6,random_hill_climb,0.813780260707635,0.7445887445887446,0.5693430656934306
7,random_hill_climb,0.7951582867783985,0.7142857142857143,0.484375
8,random_hill_climb,0.7951582867783985,0.7316017316017316,0.5303030303030304
9,random_hill_climb,0.8063314711359404,0.7359307359307359,0.5611510791366906
10,random_hill_climb,0.8119180633147114,0.7316017316017316,0.557142857142857
